Name,Category,Address Line 1,Address Line 2,City/Town,Postcode,Phone,Email,Website
All Together Edinburgh,Charity Shop,,,Edinburgh,,+44 131,,
Armchair Books,Book Shop,72-74 West Port,,Edinburgh,EH1 2LE,0131 229 5927,,https://www.armchairbooks.co.uk/
Armstrong & Son,Vintage Clothing,83 Grassmarket,,Edinburgh,EH1 2HJ,0131 220 5557,,https://www.armstrongsvintage.co.uk/
Armstrong & Son - Clerk Street,Vintage Clothing,Clerk Street,,Edinburgh,,,,https://www.armstrongsvintage.co.uk/
Armstrong & Son - Cockburn Street,Vintage Clothing,Cockburn Street,,Edinburgh,,,,https://www.armstrongsvintage.co.uk/
Armstrong & Son - Grassmarket,Vintage Clothing,83 Grassmarket,,Edinburgh,EH1 2HJ,0131 220 5557,,https://www.armstrongsvintage.co.uk/
Armstrong & Son - Teviot Place,Vintage Clothing,Teviot Place,,Edinburgh,,,,https://www.armstrongsvintage.co.uk/
Assai Records,Record Shop,1 Grindlay Street,,Edinburgh,EH3 9AT,0131 225 3100,,https://www.assai.co.uk/
Barnardo's,Charity Shop,Nicolson Street,,Edinburgh,,,,https://www.barnardos.org.uk/shops
Birthlink Thrift Shop Two,Charity Shop,,,Edinburgh,,,,
Blacket Books,Book Shop,,,Edinburgh,,,,https://blacketbooks.co.uk/
Bonhams Edinburgh,Auction House,22 Queen Street,,Edinburgh,EH2 1JX,0131 225 2266,,https://www.bonhams.com/location/EDI/edinburgh/
British Heart Foundation,Charity Shop,,,Edinburgh,,+44 131,,https://www.bhf.org.uk/shop/our-shops
British Red Cross,Charity Shop,Morningside Road,Morningside,Edinburgh,,,,https://www.redcross.org.uk/shop/find-a-charity-shop
Cancer Research UK,Charity Shop,South Clerk Street,Newington,Edinburgh,,,,https://www.cancerresearchuk.org/get-involved/find-a-shop
Carnivàle Vintage,Vintage Clothing,101 West Bow,Old Town,Edinburgh,EH1 2JP,0131 477 7178,,http://www.vintageedinburgh.com/
Chest Heart & Stroke Scotland,Charity Shop,Morningside Road,Morningside,Edinburgh,,,,https://www.chss.org.uk/shops/
City Used Office Furniture,Furniture Shop,,,Edinburgh,,,,https://cityusedofficefurniture.co.uk/locations/edinburgh-glasgow-scotland-new-used-office-furniture-shop/
Clifford Milne,Book Shop,By Appointment Only,,Edinburgh,EH,,,
Courtyard Antiques,Antiques,108A Causewayside,,Edinburgh,EH9 1PU,0131 662 9008,courtyardantiquesedinburgh@gmail.com,https://www.courtyardantiquesedinburgh.com/
David B. Jarvis,Book Shop,By Appointment Only,,Edinburgh,EH,,,
Donald Munro,Book Shop,By Appointment Only,,Edinburgh,EH,,,
,,,,,,,,
,,,,,,,,
Drum Farm Antiques,Furniture Shop,684 Old Dalkeith Road,The Big Green Barn,Edinburgh,EH22 1RR,0131 660 5678,alanmacdougall9@gmail.com,https://drumfarmantiques.co.uk/
Edinburgh Books,Book Shop,145-147 West Port,,Edinburgh,EH3 9DP,0131 622 6175,,
Edinburgh Furniture Initiative,Furniture Shop,23 Salamander Street,Leith,Edinburgh,EH6 7JR,0131 557 7900,,https://www.foursquare.org.uk/edinburgh-furniture-initiative/
Elvis Shakespeare,Record Shop,347 Leith Walk,,Edinburgh,EH6 8SD,0131 561 1363,,https://www.elvisshakespeare.com/
Folly Antiques,Antiques,208 & 210 Leith Walk,,Edinburgh,EH6 5EQ,0131 629 5482,info@follyantiques.co.uk,https://www.follyantiques.co.uk/
