name,address,postcode,M,T,W,T,F,S,S,type name,Specialities
,,,,,,,,,,,
Alan Day,25 Moray Place,EH1 2HG ,10 to 5 ,10 to 5 ,10 to 5 ,10 to 5 ,10 to 5 ,10 to 5 ,,Antique – Appointment Only,Upmarket Chinese
Anthony Woodd,4 Dundas Street,EH3 6HZ ,11 to 5 ,11 to 5 ,11 to 5 ,11 to 5 ,11 to 5 ,11 to 4 ,,Antique  ,Upmarket
Aquarius,3 Spittal Street,EH3 9DY,11 to 6,11 to 6,11 to 6,11 to 6,11 to 6,11 to 6,,Antique ,Mixed
Armchair Books,72 West Port ,EH1 2LE,1 to 5,1 to 5,1 to 5,1 to 5,10 to 6,10 to 6,1 to 5,Books,Books
Armstrongs,5x,,10 to 5,10 to 5,10 to 5,10 to 5,10 to 5,10 to 5,12 to 6,Clothes,Clothes
Bowerbird,26 Bruntsfield Avenue,EH3 6DA ,,,,10 to 5 ,10 to 5 ,,,Antique ,
Bowerbird Antiques,26 Bruntsfield Avenue,EH10 4EW,,,,10 to 5,10 to 5,,,Antique ,
Cabaret,137 West Port,EH3 9DP ,10 to 5,10 to 5,10 to 5,10 to 5,10 to 5,10 to 5,,Books,Books
Carnivale Vintage,51 Bread Street,EH3 9AH,11 to 6,11 to 6,11 to 6,11 to 6,11 to 6,11 to 6,,Clothes,Clothing
Cavanagh’s Antiques,49 Cockburn Street,EH1 1BS ,,,,11 to 5,11 to 5,11 to 5,,Antique ,
Cookie,29a Cockburn Street,EH1 1BP,10 to 5,10 to 5,10 to 5,10 to 5,10 to 5,10 to 5,10 to 5,Clothes,Clothing (Women)
Courtyard,108 Causwayside,EH9 1PU ,10 to 4,10 to 4,10 to 4,10 to 4,10 to 4,10 to 4,,Antique ,Mixed
Drennan Sturrock,28 London Road,EH3 6NA ,?,?,?,?,?,?,?,Furniture,Upmarket Furniture
Duncan & Reid,5 Tanfield Inverleith Row,EH3 5DA,,,11 to 4,11 to 4,,,,Books,Antiques Books
